sku,capacity,depth,lid,additional,top_out_a,top_out_b,top_in_a,top_in_b,base_a,base_b,edge,category
2445pl,190.0,32.0,No matching lid.,,99.0,99.0,93.0,93.0,86.0,86.0,Rolled Edge,Rounds
2642pl,187.0,30.0,No matching lid.,,137.0,102.0,124.0,89.0,94.0,60.0,Rolled Edge,Ovals
539rpl,184.0,24.0,No matching lid.,,127.0,127.0,111.0,111.0,81.0,81.0,Rolled Edge,Rounds
2510pl,181.0,34.0,No matching lid.,,106.0,106.0,95.0,95.0,74.0,74.0,Rolled Edge,Rounds
3210pl,180.0,19.0,No matching lid.,,196.0,131.0,178.0,114.0,168.0,104.0,Rolled Edge,Compartmental
203tpl,180.0,24.0,No matching lid.,,127.0,95.0,114.0,82.0,102.0,70.0,Rolled Edge,Rectangular
530rpl,175.0,32.0,No matching lid.,,112.0,112.0,95.0,95.0,67.0,67.0,Rolled Edge,Rounds
810bpl,170.0,53.0,No matching lid.,,82.0,82.0,73.0,73.0,46.0,46.0,Rolled Edge,Basins
1820pl,164.0,20.0,No matching lid.,,137.0,137.0,121.0,121.0,83.0,83.0,Rolled Edge,Saucers
113fpl,162.0,20.0,No matching lid.,,128.0,128.0,113.0,113.0,95.0,95.0,Rolled Edge,Flans Fluted
3103pl,162.0,31.0,No matching lid.,,94.0,94.0,85.0,85.0,76.0,76.0,Rolled Edge,Rounds
2621pl,162.0,25.0,No matching lid.,,134.0,98.0,114.0,78.0,100.0,64.0,Rolled Edge,Ovals
2508pl,160.0,29.0,No matching lid.,,101.0,101.0,89.0,89.0,79.0,79.0,Rolled Edge,Flans Non-Fluted
2209pl,160.0,18.0,No matching lid.,,110.0,110.0,101.0,101.0,91.0,91.0,Rolled Edge,Flans Non-Fluted
614ppl,309.0,16.0,No matching lid.,,196.0,196.0,170.0,170.0,142.0,142.0,Rolled Edge,Plates
610ppl,306.0,20.0,No matching lid.,,170.0,170.0,150.0,150.0,130.0,130.0,Rolled Edge,Plates
2028pl,302.0,20.0,No matching lid.,,170.0,170.0,151.0,151.0,129.0,129.0,Rolled Edge,Plates
102fpl,302.0,25.0,No matching lid.,,136.0,136.0,127.0,127.0,122.0,122.0,Rolled Edge,Flans Non-Fluted
